Point ID,MaterialIDs,Points_0,Points_1,Points_2,Points_Magnitude,arc_length,temperature_BHE1_0,temperature_BHE1_1,temperature_BHE1_2,temperature_BHE1_Magnitude,temperature_soil,vtkValidPointMask
152,0,0,20,-42.536,47.0033,25.536,288.811,286.273,285.676,496.965,285.671,1
153,0,0,20,-42.704,47.1554,25.704,288.808,286.272,285.676,496.964,285.671,1
154,0,0,20,-42.872,47.3076,25.872,288.806,286.272,285.675,496.962,285.67,1
155,0,0,20,-43.04,47.4599,26.04,288.804,286.272,285.675,496.96,285.67,1
156,0,0,20,-43.208,47.6123,26.208,288.802,286.274,285.676,496.961,285.671,1
157,0,0,20,-43.376,47.7648,26.376,288.8,286.275,285.678,496.962,285.673,1
158,0,0,20,-43.544,47.9174,26.544,288.798,286.277,285.679,496.962,285.674,1
159,0,0,20,-43.712,48.0701,26.712,288.796,286.279,285.68,496.963,285.675,1
160,0,0,20,-43.88,48.223,26.88,288.794,286.28,285.681,496.963,285.676,1
161,0,0,20,-44.048,48.3759,27.048,288.792,286.281,285.682,496.963,285.677,1
162,0,0,20,-44.216,48.5289,27.216,288.79,286.281,285.682,496.961,285.677,1
163,0,0,20,-44.384,48.682,27.384,288.788,286.281,285.681,496.96,285.676,1
164,0,0,20,-44.552,48.8352,27.552,288.786,286.28,285.681,496.958,285.676,1
165,0,0,20,-44.72,48.9886,27.72,288.784,286.28,285.68,496.956,285.675,1
166,0,0,20,-44.888,49.142,27.888,288.782,286.279,285.68,496.954,285.675,1
167,0,0,20,-45.056,49.2955,28.056,288.78,286.28,285.68,496.953,285.675,1
168,0,0,20,-45.224,49.4491,28.224,288.778,286.281,285.681,496.954,285.676,1
169,0,0,20,-45.392,49.6028,28.392,288.776,286.283,285.682,496.955,285.677,1
170,0,0,20,-45.56,49.7565,28.56,288.774,286.285,285.684,496.955,285.679,1
171,0,0,20,-45.728,49.9104,28.728,288.772,286.286,285.685,496.956,285.68,1
172,0,0,20,-45.896,50.0644,28.896,288.77,286.288,285.686,496.956,285.681,1
173,0,0,20,-46.064,50.2184,29.064,288.768,286.289,285.687,496.956,285.682,1
174,0,0,20,-46.232,50.3726,29.232,288.766,286.289,285.686,496.954,285.681,1
175,0,0,20,-46.4,50.5268,29.4,288.764,286.288,285.686,496.953,285.681,1
176,0,0,20,-46.568,50.6811,29.568,288.762,286.288,285.685,496.951,285.681,1
177,0,0,20,-46.736,50.8356,29.736,288.76,286.288,285.685,496.949,285.68,1
178,0,0,20,-46.904,50.9901,29.904,288.758,286.287,285.685,496.948,285.68,1
179,0,0,20,-47.072,51.1446,30.072,288.756,286.288,285.685,496.947,285.68,1
180,0,0,20,-47.24,51.2993,30.24,288.754,286.29,285.686,496.948,285.681,1
181,0,0,20,-47.408,51.454,30.408,288.752,286.291,285.687,496.948,285.683,1
182,0,0,20,-47.576,51.6089,30.576,288.75,286.293,285.689,496.949,285.684,1
183,0,0,20,-47.744,51.7638,30.744,288.748,286.295,285.69,496.95,285.685,1
184,0,0,20,-47.912,51.9188,30.912,288.746,286.296,285.691,496.95,285.686,1
185,0,0,20,-48.08,52.0739,31.08,288.744,286.297,285.692,496.95,285.687,1
186,0,0,20,-48.248,52.229,31.248,288.742,286.297,285.691,496.948,285.687,1
187,0,0,20,-48.416,52.3842,31.416,288.74,286.297,285.691,496.947,285.686,1
188,0,0,20,-48.584,52.5396,31.584,288.738,286.296,285.691,496.945,285.686,1
189,0,0,20,-48.752,52.6949,31.752,288.736,286.296,285.69,496.943,285.685,1
190,0,0,20,-48.92,52.8504,31.92,288.734,286.296,285.69,496.942,285.685,1
191,0,0,20,-49.088,53.006,32.088,288.732,286.297,285.691,496.941,285.686,1
192,0,0,20,-49.256,53.1616,32.256,288.73,286.298,285.692,496.942,285.687,1
193,0,0,20,-49.424,53.3173,32.424,288.728,286.3,285.693,496.943,285.688,1
194,0,0,20,-49.592,53.473,32.592,288.726,286.302,285.695,496.943,285.69,1
195,0,0,20,-49.76,53.6289,32.76,288.724,286.304,285.696,496.944,285.691,1
196,0,0,20,-49.928,53.7848,32.928,288.722,286.305,285.697,496.945,285.692,1
197,0,0,20,-50.096,53.9408,33.096,288.72,286.306,285.698,496.944,285.693,1
198,0,0,20,-50.264,54.0969,33.264,288.718,286.306,285.697,496.943,285.692,1
199,0,0,20,-50.432,54.253,33.432,288.716,286.305,285.697,496.941,285.692,1
200,0,0,20,-50.6,54.4092,33.6,288.714,286.305,285.697,496.94,285.692,1
201,0,0,20,-50.768,54.5655,33.768,288.712,286.305,285.696,496.938,285.691,1
202,0,0,20,-50.936,54.7218,33.936,288.71,286.305,285.696,496.937,285.691,1
203,0,0,20,-51.104,54.8782,34.104,288.708,286.306,285.697,496.937,285.692,1
204,0,0,20,-51.272,55.0347,34.272,288.706,286.307,285.698,496.937,285.693,1
205,0,0,20,-51.44,55.1912,34.44,288.704,286.309,285.699,496.938,285.694,1
206,0,0,20,-51.608,55.3479,34.608,288.703,286.311,285.701,496.939,285.696,1
207,0,0,20,-51.776,55.5045,34.776,288.701,286.313,285.702,496.939,285.697,1
208,0,0,20,-51.944,55.6613,34.944,288.699,286.315,285.703,496.94,285.698,1
209,0,0,20,-52.112,55.8181,35.112,288.697,286.315,285.704,496.939,285.699,1
210,0,0,20,-52.28,55.975,35.28,288.695,286.315,285.703,496.938,285.699,1
211,0,0,20,-52.448,56.1319,35.448,288.693,286.315,285.703,496.937,285.698,1
212,0,0,20,-52.616,56.2889,35.616,288.691,286.314,285.703,496.935,285.698,1
213,0,0,20,-52.784,56.446,35.784,288.689,286.314,285.703,496.934,285.698,1
214,0,0,20,-52.952,56.6031,35.952,288.687,286.314,285.702,496.932,285.698,1
215,0,0,20,-53.12,56.7603,36.12,288.685,286.315,285.703,496.932,285.698,1
216,0,0,20,-53.288,56.9176,36.288,288.683,286.317,285.705,496.933,285.7,1
